DateTime,GS_data,SPGI_data,IJJ_data,IJK_data,BTC-USD_data,ETC-USD_data,UVXY_data,LRCX_data,LTC-USD_data,ITA_data,NEE_data,SBUX_data,MCK_data,NOC_data,IHI_data,PSA_data,XLM-USD_data,QLD_data,XRP-USD_data,AGG_data,ETH-USD_data,BXP_data,VCR_data,MUB_data,ACN_data,CI_data,SUB_data,JNJ_data,TNA_data,SVXY_data,KR_data,STZ_data,LLY_data,ZBH_data,VBK_data,BDX_data,IJS_data,AIV_data,LMT_data,ECL_data,XEC_data,EBAY_data,TRV_data,TECS_data,ARNC_data,IGIB_data,TLH_data,KMB_data,VGT_data,GWW_data,USDT-USD_data,IWF_data,MSFT_data,UHS_data,IYH_data,SHW_data,FAZ_data,SPXS_data,VUG_data,IYW_data,CMI_data,HUM_data,DHR_data,XMR-USD_data,VAR_data,ITOT_data,DASH-USD_data,AMAT_data,VDC_data,ROST_data,QID_data,WHR_data,MLM_data,RTN_data,MCD_data,ZROZ_data,IEF_data,AAP_data,GVI_data
20150227,176.6,97.59,120.28,159.12,399.52,2.60015,44600.0,75.8,4.42,116.45,89.39,42.78,219.39,153.54,115.71,165.59,0.0033,37.25,0.0047,97.79,1.2,121.36,114.61,98.25,80.93,121.47,100.42,89.99,42.39,128.66,33.12,108.03,61.79,115.58,126.68,136.32,109.54,31.72,176.21,108.83,109.17,24.01,95.81,189.95,31.78,47.92,124.09,93.45,102.59,213.13,1.0,94.28,39.65,111.47,141.86,272.03,244.46,91.83,102.66,103.57,123.17,158.87,43.55,1.31,81.53,43.74,2.84,23.15,113.25,50.39,136.56,185.85,136.41,98.11,86.85,109.4,97.61,153.64,101.19
20150302,178.47,97.96,120.85,160.67,377.18,2.3439,41700.0,77.66,4.23,117.99,87.73,43.12,218.93,154.83,116.79,165.86,0.0032,37.92,0.0053,97.3,1.09,122.55,115.81,97.87,81.97,122.31,100.48,90.61,43.39,132.92,32.69,109.22,61.92,116.54,127.74,137.54,110.18,32.22,178.82,109.22,106.25,24.21,96.22,185.26,32.13,47.73,123.02,94.09,103.55,215.19,1.0,95.04,39.67,112.6,143.01,277.46,238.76,90.17,103.53,104.52,124.21,156.57,43.65,1.22,82.58,44.0,2.9,23.68,113.44,50.47,134.05,188.53,137.39,99.62,87.82,106.65,96.89,153.48,100.86
20150303,177.98,98.09,120.37,159.78,375.47,2.58675,43400.0,75.19,4.25,116.99,88.08,43.02,218.42,151.61,115.46,165.33,0.0032,37.55,0.0047,97.17,1.26,122.54,115.52,97.74,81.66,120.95,100.3,89.84,42.62,129.96,32.59,108.44,62.75,114.51,127.15,135.89,109.78,32.44,176.1,109.44,106.41,24.16,95.77,189.16,32.62,47.7,122.79,93.96,102.76,217.07,1.0,94.68,39.13,110.86,141.9,272.73,240.53,91.34,103.13,103.69,125.88,154.88,43.44,1.15,82.34,43.79,2.85,22.63,113.02,50.26,135.36,188.06,137.05,97.58,87.59,105.98,96.68,153.18,100.87
20150304,176.49,97.07,119.91,159.02,386.94,2.69725,43300.0,74.34,4.47,116.49,87.61,42.59,218.41,151.89,115.52,163.87,0.0032,37.27,0.0046,97.23,1.46,121.26,114.92,97.92,81.72,121.7,100.35,89.23,42.22,130.28,32.15,107.76,62.09,114.23,126.46,137.84,109.12,32.23,175.26,109.43,107.23,24.18,95.31,191.51,31.35,47.71,122.93,93.09,102.41,212.31,1.0,94.26,38.93,113.83,142.46,272.71,245.05,92.47,102.72,103.3,124.66,154.85,42.97,1.22,82.24,43.62,2.7,22.43,112.28,50.06,136.29,185.45,136.89,96.3,88.04,106.2,96.75,149.57,100.9
20150305,176.87,97.31,119.84,159.47,383.61,2.14667,42175.0,74.25,4.43,116.67,88.24,42.85,219.87,151.29,116.41,164.23,0.0029,37.39,0.0048,97.27,1.4,122.79,114.99,97.82,82.75,122.34,100.45,89.99,42.55,131.86,32.0,107.18,62.34,114.63,127.04,138.9,108.98,31.98,175.37,109.99,106.61,24.5,95.95,192.1,30.9,47.74,122.88,93.17,102.37,214.15,1.0,94.4,38.98,112.98,143.27,275.82,242.1,92.18,102.85,103.09,123.2,156.68,43.08,1.2,82.62,43.68,2.46,22.34,112.65,50.09,135.9,184.86,136.54,96.48,87.04,105.91,96.81,151.25,100.97
20150306,173.93,96.01,118.49,157.39,375.07,2.1851599999999998,45950.0,73.7,4.32,115.33,85.28,42.2,215.46,148.63,113.97,157.97,0.0028,36.53,0.0049,96.64,1.38,118.19,113.59,96.89,81.51,120.41,100.27,87.88,40.93,125.96,34.14,104.44,62.29,111.91,125.29,135.15,107.59,32.28,174.1,108.33,107.63,24.82,94.83,199.52,31.12,47.54,121.35,91.76,101.22,211.65,1.0,93.07,38.3,112.16,140.62,273.22,248.39,95.95,101.46,101.98,121.6,154.38,42.52,1.19,81.71,43.05,2.44,22.09,110.59,49.83,139.06,178.37,134.84,94.9,85.3,101.88,95.82,147.83,100.5
20150309,174.87,97.94,118.68,158.24,359.51,1.9485700000000001,44600.0,74.43,4.18,116.38,85.48,42.58,216.18,149.43,114.48,157.81,0.0026,36.73,0.005,96.88,1.35,119.18,114.17,97.22,81.61,121.84,100.34,88.36,41.44,127.76,34.16,108.51,60.36,112.49,125.64,135.46,108.28,31.52,175.94,109.46,106.02,25.21,95.66,196.39,29.44,47.61,121.98,91.93,101.64,212.16,1.0,93.45,38.74,111.65,141.37,272.55,245.05,94.73,101.79,102.44,122.06,156.9,42.96,1.1,82.75,43.23,2.4,22.26,111.09,50.33,138.14,180.37,134.05,96.4,85.81,103.41,96.26,147.05,100.66
20150310,170.02,96.13,116.95,156.52,328.87,1.7117,47300.0,71.83,3.94,114.53,84.67,42.18,211.86,146.71,113.41,156.71,0.0024,35.41,0.0049,97.11,1.23,119.01,112.49,97.59,79.16,119.69,100.34,87.37,40.01,123.6,34.49,107.88,61.4,111.1,124.44,132.83,106.75,31.66,174.03,108.52,104.82,24.55,93.87,207.73,29.01,47.63,122.71,90.0,99.63,207.16,1.0,92.02,38.0,111.11,139.94,268.47,258.62,99.53,100.2,100.33,119.73,153.67,42.24,0.98,81.14,42.55,2.24,21.72,109.45,50.08,143.19,177.61,131.9,94.65,84.56,105.27,96.67,145.31,100.83
20150311,171.38,97.08,117.64,157.78,320.51,1.85058,49550.0,72.11,3.7,114.9,84.66,41.84,213.14,146.42,113.66,156.05,0.0024,34.98,0.0048,97.31,1.14,118.86,112.08,97.45,78.08,120.33,100.39,86.31,40.79,120.52,34.0,108.87,60.69,111.79,125.18,131.52,107.41,32.18,173.71,108.15,104.01,24.74,94.72,211.83,29.2,47.61,123.15,89.47,99.08,208.87,1.0,91.72,37.96,112.03,139.98,267.98,255.28,100.17,99.83,99.76,118.96,155.61,42.1,0.88,81.53,42.51,2.25,21.68,108.77,50.14,144.93,172.45,133.12,95.1,83.39,106.76,96.84,146.1,100.83
20150312,176.75,99.36,119.0,159.71,330.08,1.84923,43750.0,71.61,3.82,116.33,86.85,42.73,215.92,148.25,115.08,159.24,0.0026,35.46,0.0047,97.39,1.16,121.3,114.18,97.74,79.29,122.62,100.25,87.63,42.73,127.68,34.32,111.11,60.41,112.73,126.74,133.43,109.31,32.5,175.09,109.39,104.38,24.63,96.65,207.73,29.66,47.65,122.98,90.79,99.68,208.45,1.0,92.86,37.09,112.59,141.65,272.06,239.15,96.3,101.17,100.14,121.27,158.78,42.69,0.98,82.99,43.05,2.25,21.97,110.31,50.72,142.92,174.94,137.52,96.43,84.53,106.48,96.93,148.07,100.9
